filename	sheet_name	id_column	skip	requires_transposition	spo_already	note
article_download_status_20161222.xlsx	all_protologs	UID	False	False		UID style: rid.10014_nm.6832
article_download_status_20161222.xlsx	parsed_protologs	UID	False	False		
complete.term.book_07.18.2013_CTP.xlsx	Sheet1	Term|class	False	False		
complete.term.book_07.18.2013_CTP.xlsx	Sheet2		True	False		blank
complete.term.book_07.18.2013_CTP.xlsx	Sheet3		True	False		blank
media_normalized_20130916.xlsx	chemical_exemplar	chemical_exemplar.id	False	False		
media_normalized_20130916.xlsx	chemical_name	chemical_name.id	False	False		
media_normalized_20130916.xlsx	chemical_taxon	chemical_taxon.id	False	False		
media_normalized_20130916.xlsx	chemical_taxon_exemplar	chemical_taxon.id	False	False		
media_normalized_20130916.xlsx	ingredient		True	False		I see Excel formulae
media_normalized_20130916.xlsx	medium	substance_exemplar.id	False	False		
media_normalized_20130916.xlsx	medium_features		False	False	True	
media_normalized_20130916.xlsx	medium_name	substance_name.id	False	False		
media_normalized_20130916.xlsx	medium_taxon	substance_taxon.id	False	False		
media_normalized_20130916.xlsx	medium_taxon_exemplar	taxon_id	False	False		
media_normalized_20130916.xlsx	medium_taxonomy	substance_taxonomy.parent_taxon_id|substance_taxonomy.child_taxon_id	False	False		
media_normalized_20130916.xlsx	medium_taxonomy_full	substance_name.id	False	False		
media_normalized_20130916.xlsx	mixture_exemplar	exemplar_id	False	False		
media_normalized_20130916.xlsx	mixture_ingredient	ingredient.list_id|sort_order	False	False		
media_normalized_20130916.xlsx	mixture_name	substance_name.id	False	False		
media_normalized_20130916.xlsx	mixture_taxon	substance_taxon.id	False	False		
media_normalized_20130916.xlsx	mixture_taxon_exemplar	taxon_id	False	False		
media_normalized_20130916.xlsx	mixture_taxonomy	substance_taxonomy.parent|substance_taxonomy.child	False	False		
media_normalized_20130916.xlsx	product	substance_name.id|vendor|productId	False	False		
media_normalized_20130916.xlsx	substance_exemplar	substance_exemplar.id	False	False		
media_normalized_20130916.xlsx	substance_exemplar_feature		True	False		blank except for headers
media_normalized_20130916.xlsx	substance_exemplar_type	substance_exemplar_feature_type.type	False	False		
media_normalized_20130916.xlsx	unit	id	False	False		
media_normalized_20130916.xlsx	vendor	abbrev	False	False		
N4L_ID_to_NCBI_mappings.xlsx	N4L_NM.ID_to_EX.ID	Name N4LID	False	False		
N4L_ID_to_NCBI_mappings.xlsx	N4L_NM.ID_to_NCBI_TaxID	Name N4LID	False	False		
N4L_ID_to_NCBI_mappings.xlsx	N4L_REF.ID_to_DOCID	refid	False	False		
N4L_Taxonomy_20220802_pruned.xlsx	N4L_Taxonomy_20220802_pruned	N4LID	False	False		
N4L_Taxonomy_20220802.xlsx	N4L_Taxonomy_20220802_complete	N4LID	False	False		
N4L_Taxonomy_20220802.xlsx	N4L_Taxonomy_20220802_pruned	N4LID	False	False		
protolog_normalization_categories_with_1000_DB.xlsx	1000_proto_proj	rid (effective)|name.id	False	True		
protolog_normalization_categories_with_1000_DB.xlsx	Sheet1		True	False		Two-level class hierarchy of traits
protolog_normalization_categories_with_1000_DB.xlsx	Sheet2	rid|name.id	False	True		
protolog_normalization_categories_with_1000_DB.xlsx	Sheet3	rid|name.id	False	True		
protolog_normalization_categories_with_1000_KMP.xlsx	1000_proto_proj	rid (effective/emendation)|name.id	False	True		
protolog_normalization_categories_with_1000_KMP.xlsx	All(Sheet1,2,3)	rid|name.id	False	True		
protolog_normalization_categories_with_1000_KMP.xlsx	EffectRIDProtos(rid.2300 up)	rid|name.id	False	True		
protolog_normalization_categories_with_1000_KMP.xlsx	Notes		True	False		skip notes
protolog_normalization_categories_with_1000_KMP.xlsx	Sheet2	rid|name.id	False	True		
