ID	label	TYPE	parent class	TYPE	description	definition source	comment	biolink equivalent	confirmed exact synonym	literature mining synonyms	madin synonym or field	synonym source	bacdive keyword synonym	synonym source	bactotraits synonym	synonym source	range minimum value	range maximum value	range units	range comment
ID	LABEL	TYPE	SC %	TYPE	A IAO:0000115	>A IAO:0000119	A rdfs:comment	AI skos:closeMatch	A oboInOwl:hasExactSynonym SPLIT=|	A oboInOwl:hasRelatedSynonym SPLIT=|	A oboInOwl:hasRelatedSynonym SPLIT=|	>AI IAO:0000119 SPLIT=|	A oboInOwl:hasRelatedSynonym SPLIT=|	>AI IAO:0000119	A oboInOwl:hasRelatedSynonym SPLIT=|	>AI IAO:0000119	A https://w3id.org/metpo/RangeMin	A https://w3id.org/metpo/RangeMax	A https://w3id.org/metpo/Unit	A rdfs:comment
METPO:1000511	pH adaptation	owl:Class	METPO:1000523	owl:Class	A combination of cellular processes that permits survival and growth under specific hydrogen ion concentrations.										https://ordar.otelo.univ-lorraine.fr/files/ORDAR-53/BactoTraits_databaseV2_Jun2022.csv
METPO:1000232	pH delta	owl:Class	METPO:1000245|METPO:1000147	owl:Class	A measure of the breadth of hydrogen ion concentrations that a microorganism can tolerate, calculated as the difference between the maximum and minimum viable pH values									pH deltas	https://ordar.otelo.univ-lorraine.fr/files/ORDAR-53/BactoTraits_databaseV2_Jun2022.csv
METPO:1000478	pH delta high	owl:Class	METPO:1000232	owl:Class	A growth tolerance metric measuring the span of pH conditions that support an organism's growth, with a wide range between 5 and 9 pH units.									pHd_5_9	https://ordar.otelo.univ-lorraine.fr/files/ORDAR-53/BactoTraits_databaseV2_Jun2022.csv	5	9	pH
METPO:1000474	pH delta low	owl:Class	METPO:1000232	owl:Class	A growth tolerance metric measuring the span of pH conditions that support an organism's growth, with a range between 1 and 2 pH units.									pHd_1_2	https://ordar.otelo.univ-lorraine.fr/files/ORDAR-53/BactoTraits_databaseV2_Jun2022.csv	1	2	pH
METPO:1000475	pH delta mid1	owl:Class	METPO:1000232	owl:Class	A growth tolerance metric measuring the span of pH conditions that support an organism's growth, with a range between 2 and 3 pH units.									pHd_2_3	https://ordar.otelo.univ-lorraine.fr/files/ORDAR-53/BactoTraits_databaseV2_Jun2022.csv	2	3	pH
METPO:1000476	pH delta mid2	owl:Class	METPO:1000232	owl:Class	A growth tolerance metric measuring the span of pH conditions that support an organism's growth, with a range between 3 and 4 pH units.									pHd_3_4	https://ordar.otelo.univ-lorraine.fr/files/ORDAR-53/BactoTraits_databaseV2_Jun2022.csv	3	4	pH
METPO:1000477	pH delta mid3	owl:Class	METPO:1000232	owl:Class	A growth tolerance metric measuring the span of pH conditions that support an organism's growth, with a range between 4 and 5 pH units.									pHd_4_5	https://ordar.otelo.univ-lorraine.fr/files/ORDAR-53/BactoTraits_databaseV2_Jun2022.csv	4	5	pH
METPO:1000473	pH delta very low	owl:Class	METPO:1000232	owl:Class	A growth tolerance metric measuring the span of pH conditions that support an organism's growth, with a narrow range less than 1 pH unit.									pHd_<1	https://ordar.otelo.univ-lorraine.fr/files/ORDAR-53/BactoTraits_databaseV2_Jun2022.csv		1	pH	maximum of 1 pH unit
METPO:1000233	pH optimum (growth range)	owl:Class	METPO:1000245|METPO:1000147	owl:Class	The specific pH at which an organism exhibits maximum growth rate			pH optima	https://ordar.otelo.univ-lorraine.fr/files/ORDAR-53/BactoTraits_databaseV2_Jun2022.csv
METPO:1000331	pH optimum (metabolic efficiency)	owl:Class	METPO:1000523	owl:Class	The specific hydrogen ion concentration at which a microorganism achieves its maximum growth rate and metabolic efficiency.									pH	https://ordar.otelo.univ-lorraine.fr/files/ORDAR-53/BactoTraits_databaseV2_Jun2022.csv
METPO:1000458	pH optimum high	owl:Class	METPO:1000331	owl:Class	A pH optimum manifested as maximum microbial growth at hydrogen ion concentrations between pH 8 and 14, characteristic of alkaliphilic or extremely alkaliphilic organisms.		Alkaliphile|Alkali Tolerant|Extreme Alkaliphile							pHO_8_to_14	https://ordar.otelo.univ-lorraine.fr/files/ORDAR-53/BactoTraits_databaseV2_Jun2022.csv	8	14	pH
METPO:1000455	pH optimum low	owl:Class	METPO:1000331	owl:Class	A pH optimum manifested as maximum microbial growth at hydrogen ion concentrations between pH 0 and 6, characteristic of acidophilic organisms.		Extreme Acidophile|Acidophile|Acid Tolerant|Facultative acidophile|Obligative acidophile							pHO_0_to_6	https://ordar.otelo.univ-lorraine.fr/files/ORDAR-53/BactoTraits_databaseV2_Jun2022.csv	0	6	pH
METPO:1000456	pH optimum mid1	owl:Class	METPO:1000331	owl:Class	A pH optimum manifested as maximum microbial growth at hydrogen ion concentrations between pH 6 and 7, characteristic of neutrophilic or alkali-tolerant organisms.		Neutrophile|Alkali Tolerant							pHO_6_to_7	https://ordar.otelo.univ-lorraine.fr/files/ORDAR-53/BactoTraits_databaseV2_Jun2022.csv	6	7	pH
METPO:1000457	pH optimum mid2	owl:Class	METPO:1000331	owl:Class	A pH optimum manifested as maximum microbial growth at hydrogen ion concentrations between pH 7 and 8, characteristic of neutrophilic, alkaliphilic, or alkali-tolerant organisms.		Neutrophile|Alkaliphile|Alkali Tolerant							pHO_7_to_8	https://ordar.otelo.univ-lorraine.fr/files/ORDAR-53/BactoTraits_databaseV2_Jun2022.csv	7	8	pH
