source_id	target_id	target_ontology
METPO:000001	http://purl.obolibrary.org/obo/PATO_0000146	https://data.bioontology.org/ontologies/AF
METPO:000001	http://purl.allotrope.org/ontologies/result#AFR_0001584	https://data.bioontology.org/ontologies/AF
METPO:000001	http://purl.allotrope.org/ontologies/result#AFR_0001584	https://data.bioontology.org/ontologies/AFO
METPO:000001	http://purl.obolibrary.org/obo/PATO_0000146	https://data.bioontology.org/ontologies/AFO_01
METPO:000001	http://purl.allotrope.org/ontologies/result#AFR_0001584	https://data.bioontology.org/ontologies/AFO_01
METPO:000001	http://purl.obolibrary.org/obo/PATO_0000146	https://data.bioontology.org/ontologies/AGRO
METPO:000001	http://opendata.inra.fr/anaeeThes/c2_2698	https://data.bioontology.org/ontologies/ANAEE
METPO:000001	http://purl.obolibrary.org/obo/PATO_0000146	https://data.bioontology.org/ontologies/APOLLO-SV
METPO:000001	http://lod.nal.usda.gov/nalt/5861	https://data.bioontology.org/ontologies/AWIC3
METPO:000001	http://purl.obolibrary.org/obo/MESH_D013696	https://data.bioontology.org/ontologies/BERO
METPO:000001	http://purl.obolibrary.org/obo/PATO_0000146	https://data.bioontology.org/ontologies/BERO
METPO:000001	http://www.semanticweb.org/bowenliu/ontologies/2020/4/untitled-ontology-8#temperature	https://data.bioontology.org/ontologies/BIFO
METPO:000001	http://purl.org/obo/owl/PATO#PATO_0000146	https://data.bioontology.org/ontologies/BIOMODELS
METPO:000001	https://w3id.org/brainteaser/ontology/schema/Temperature	https://data.bioontology.org/ontologies/BT-ONTOLOGY
METPO:000001	https://gitlab.com/kupferdigital/process-graphs/brinell-hardness-test/Temperature	https://data.bioontology.org/ontologies/BTO-BFO
METPO:000001	https://w3id.org/pmd/co/Temperature	https://data.bioontology.org/ontologies/BTO-PROVO
METPO:000001	https://cadsr.nci.nih.gov/metadata/CADSR-VS/4b6e549cc28df4b7724a93860ec11916a8f68d59	https://data.bioontology.org/ontologies/CADSR-VS
METPO:000001	https://cadsr.nci.nih.gov/metadata/CADSR-VS/34d7ac168be7270fc658bb49d57d33f2b38ebd15	https://data.bioontology.org/ontologies/CADSR-VS
METPO:000001	https://cadsr.nci.nih.gov/metadata/CADSR-VS/05ccfdd1605e93c448e72e70cde3f34e4ab5d894	https://data.bioontology.org/ontologies/CADSR-VS
METPO:000001	http://www.ebi.ac.uk/efo/EFO_0001702	https://data.bioontology.org/ontologies/CCONT
METPO:000001	http://purl.obolibrary.org/obo/PATO_0000146	https://data.bioontology.org/ontologies/CHEAR
METPO:000001	http://purl.org/vodan/whocovid19crfsemdatamodel/Temperature	https://data.bioontology.org/ontologies/CIDIO_AUX
METPO:000001	http://purl.org/vodan/whocovid19crfsemdatamodel/Temperature	https://data.bioontology.org/ontologies/CIDIO_V1
METPO:000001	http://purl.org/vodan/whocovid19crfsemdatamodel/Temperature	https://data.bioontology.org/ontologies/CIDIT_V1
METPO:000001	http://purl.org/vodan/whocovid19crfsemdatamodel/Temperature	https://data.bioontology.org/ontologies/CIDIT_V1_2
METPO:000001	http://purl.org/vodan/whocovid19crfsemdatamodel/Temperature	https://data.bioontology.org/ontologies/CIDIT_V2
METPO:000001	http://purl.org/vodan/whocovid19crfsemdatamodel/Temperature	https://data.bioontology.org/ontologies/CIDIT_V2_2
METPO:000001	http://purl.org/vodan/whocovid19crfsemdatamodel/Temperature	https://data.bioontology.org/ontologies/CIDIT_V3
METPO:000001	http://purl.org/vodan/whocovid19crfsemdatamodel/Temperature	https://data.bioontology.org/ontologies/CIDIT_V3_2
METPO:000001	http://purl.org/vodan/whocovid19crfsemdatamodel/Temperature	https://data.bioontology.org/ontologies/CIDIT_V4
METPO:000001	http://purl.obolibrary.org/obo/PATO_0000146	https://data.bioontology.org/ontologies/CIDO
METPO:000001	http://purl.obolibrary.org/obo/COMO_0000123	https://data.bioontology.org/ontologies/COMO
METPO:000001	http://purl.org/vodan/whocovid19crfsemdatamodel/Temperature	https://data.bioontology.org/ontologies/COVIDCRFRAPID
METPO:000001	http://purl.obolibrary.org/obo/NCIT_C25206	https://data.bioontology.org/ontologies/COVIDCRFRAPID
METPO:000001	http://purl.bioontology.org/ontology/CSP/2871-3090	https://data.bioontology.org/ontologies/CRISP
METPO:000001	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Temperature	https://data.bioontology.org/ontologies/CSEO
METPO:000001	http://mged.sourceforge.net/ontologies/MGEDOntology.owl#Temperature	https://data.bioontology.org/ontologies/CSEO
METPO:000001	https://purl.dsmz.de/schema/Temperature	https://data.bioontology.org/ontologies/D3O
METPO:000001	urn:absolute:vegetable#Temperature	https://data.bioontology.org/ontologies/DILON
METPO:000001	http://purl.obolibrary.org/obo/PATO_0000146	https://data.bioontology.org/ontologies/DPO
METPO:000001	http://www.semanticweb.org/zhenyuzhang/ontologies/2019/8/nonpharmacological-intervention-for-agitation-in-dementia-ontology/Temperature	https://data.bioontology.org/ontologies/DRANPTO
METPO:000001	http://purl.obolibrary.org/obo/ECOSIMCONCEPT_Temperature	https://data.bioontology.org/ontologies/ECOSIM
METPO:000001	http://purl.obolibrary.org/obo/PATO_0000146	https://data.bioontology.org/ontologies/ECTO
METPO:000001	http://www.semanticweb.org/sumaiyasuravee/ontologies/2023/5/untitled-ontology-20#Temperature	https://data.bioontology.org/ontologies/EDEM-CONNECTONTO
METPO:000001	http://www.ebi.ac.uk/efo/EFO_0001702	https://data.bioontology.org/ontologies/EFO
METPO:000001	http://purl.obolibrary.org/obo/PATO_0000146	https://data.bioontology.org/ontologies/EGO
METPO:000001	http://purl.obolibrary.org/obo/PATO_0000146	https://data.bioontology.org/ontologies/ENM
METPO:000001	http://purl.obolibrary.org/obo/PATO_0000146	https://data.bioontology.org/ontologies/ENVO
METPO:000001	http://vocabs.lter-europe.net/EnvThes/EUDIM_006	https://data.bioontology.org/ontologies/ENVTHES
METPO:000001	http://www.cvrgrid.org/ontologies/Electrophysiology#Temperature	https://data.bioontology.org/ontologies/EP
METPO:000001	http://www.semanticweb.org/rjyy/ontologies/2015/5/ESSO#Temperature	https://data.bioontology.org/ontologies/ESSO
METPO:000001	http://purl.obolibrary.org/obo/PATO_0000146	https://data.bioontology.org/ontologies/EUPATH
METPO:000001	http://id.loc.gov/authorities/subjects/sh85133712	https://data.bioontology.org/ontologies/FAST-TOPICAL
METPO:000001	http://id.loc.gov/authorities/subjects/sh2001009098	https://data.bioontology.org/ontologies/FAST-TOPICAL
METPO:000001	http://purl.obolibrary.org/obo/FBcv_0000466	https://data.bioontology.org/ontologies/FB-CV
METPO:000001	https://github.com/RenVit318/pghd/tree/main/src/vocab/fitbit/temperature	https://data.bioontology.org/ontologies/FIT_BIT
METPO:000001	http://purl.obolibrary.org/obo/PATO_0000146	https://data.bioontology.org/ontologies/FLOPO
METPO:000001	http://purl.obolibrary.org/obo/PATO_0000146	https://data.bioontology.org/ontologies/FOODON
