metpo_id,metpo_label,match_iri,match_ontology,match_distance,metpo_sibling_count,external_sibling_count,coherent_sibling_count,coherence_score,alignment_score
METPO:1000467,NaCl optimum mid2,http://purl.obolibrary.org/obo/MCO_0000770,mco,0.8235756158828735,3,12,3,1.0,0.17642438411712646
METPO:1000471,NaCl range mid2,http://purl.obolibrary.org/obo/MCO_0000770,mco,0.8245406150817871,3,12,2,0.6666666666666666,0.1169729232788086
METPO:1000466,NaCl optimum mid1,http://purl.obolibrary.org/obo/MCO_0000243,mco,0.8367056846618652,3,1,2,0.6666666666666666,0.10886287689208984
METPO:1000472,NaCl range high,http://purl.obolibrary.org/obo/MCO_0000769,mco,0.8814780712127686,3,12,2,0.6666666666666666,0.07901461919148763
METPO:1000469,NaCl range low,http://purl.obolibrary.org/obo/MCO_0000242,mco,0.8956922292709351,3,1,2,0.6666666666666666,0.06953851381937662
METPO:1000463,pH range mid3,http://purl.obolibrary.org/obo/MCO_0000720,mco,0.6598073244094849,5,8,1,0.2,0.06803853511810302
METPO:1000470,NaCl range mid1,http://purl.obolibrary.org/obo/MCO_0000242,mco,0.8302350044250488,3,1,1,0.3333333333333333,0.056588331858317055
METPO:1000431,GC mid2,http://purl.obolibrary.org/obo/OBA_2054152,oba,0.8613414764404297,7,3185,2,0.2857142857142857,0.03961672101702009
METPO:1000480,NaCl delta mid1,http://purl.obolibrary.org/obo/MCO_0000768,mco,0.9474270343780518,3,12,2,0.6666666666666666,0.03504864374796549
METPO:1000306,temperature range,http://purl.obolibrary.org/obo/OMP_0005002,omp,0.6699280738830566,28,5,1,0.0357142857142857,0.011788283075605114
METPO:1000304,temperature optimum,http://purl.obolibrary.org/obo/OMP_0005002,omp,0.8203733563423157,28,5,1,0.0357142857142857,0.006415237273488723
METPO:1000303,temperature delta,http://purl.obolibrary.org/obo/OMP_0005002,omp,0.8936039805412292,28,5,1,0.0357142857142857,0.0037998578378132396
METPO:1000060,metabolism,http://purl.obolibrary.org/obo/GO_0008152,eco,0.4187507033348083,28,60,0,0.0,0.0
METPO:1000232,pH delta,http://purl.obolibrary.org/obo/UPHENO_0049881,upheno,0.8298410177230835,28,12,0,0.0,0.0
METPO:1000333,NaCl optimum,http://purl.obolibrary.org/obo/PHIPO_0000978,phipo,0.8215279579162598,3,218,0,0.0,0.0
METPO:1000334,NaCl range,http://purl.obolibrary.org/obo/PHIPO_0000978,phipo,0.8239844441413879,3,218,0,0.0,0.0
METPO:1000335,NaCl delta,http://purl.obolibrary.org/obo/UPHENO_0050426,upheno,0.8141588568687439,3,6,0,0.0,0.0
METPO:1000429,GC low,http://purl.obolibrary.org/obo/FYPO_0001383,upheno,0.9192813038825988,7,8,0,0.0,0.0
METPO:1000442,temperature optimum low,http://purl.obolibrary.org/obo/HP_0005968,upheno,0.8863698244094849,6,6,0,0.0,0.0
METPO:1000448,temperature range very low,http://purl.obolibrary.org/obo/HP_0005968,upheno,0.8811690211296082,6,6,0,0.0,0.0
