metpo_id	metpo_label	source	match_label	match_iri	match_ontology	match_definition	levenshtein_distance	similarity_ratio
METPO:1000678	oval shaped	OLS	Oval shaped lesion	http://snomed.info/id/129734009	snomed		7	0.7586206896551724
METPO:1000678	oval shaped	OLS	Oval	http://purl.obolibrary.org/obo/NCIT_C48345	ncit	The shape of either an oval or an ellipse.  See also TEAR.	7	0.5333333333333333
METPO:1000678	oval shaped	OLS	Oval macrocyte	http://snomed.info/id/117170009	snomed		9	0.56
METPO:1000678	oval shaped	OLS	oval nucleus	http://purl.obolibrary.org/obo/EMAPA_37667	emapa		6	0.5217391304347826
METPO:1000678	oval shaped	OLS	oval nucleus	http://purl.obolibrary.org/obo/MA_0000929	ma		6	0.5217391304347826
METPO:1000678	oval shaped	OLS	oval window	http://purl.obolibrary.org/obo/MA_0002813	ma		6	0.5454545454545454
METPO:1000678	oval shaped	OLS	Oval window	http://purl.obolibrary.org/obo/FMA_56913	fma		6	0.5454545454545454
METPO:1000678	oval shaped	OLS	oval window	http://purl.obolibrary.org/obo/XAO_0005146	xao	Entrance to the inner ear in the lateral wall of the otic capsule, which contains the footplate of the stapes.	6	0.5454545454545454
METPO:1000678	oval shaped	OLS	oval window	http://purl.obolibrary.org/obo/UBERON_0002501	uberon	The oval opening on the medial wall of the tympanic cavity leading into the vestibule, close to the foot of the stapes.	6	0.5454545454545454
METPO:1000678	oval shaped	OLS	Oval Subthalamic Nucleus	http://purl.obolibrary.org/obo/NCIT_C52725	ncit	An oval shaped cell group located in the subthalamus of the diencephalon, located between the medial part of the cerebral peduncle and the thalamus, and considered part of the functional basal ganglia.	15	0.5142857142857142
METPO:1000678	oval shaped	OLS	Oval window fistula	http://snomed.info/id/66306003	snomed		14	0.4666666666666667
METPO:1000678	oval shaped	OLS	ovate	http://purl.obolibrary.org/obo/PATO_0001891	pato	A spheroid quality inhering in a bearer by virtue of the bearer's exhibiting a continuous convex surface with an axis of symmetry and one axis longer than the other; egg-shaped.	7	0.5
METPO:1000678	oval shaped	OLS	Oval Fat Body Measurement	http://purl.obolibrary.org/obo/NCIT_C81947	ncit	The determination of the amount of oval-shaped fat bodies present in a sample.	18	0.38888888888888884
METPO:1000678	oval shaped	OLS	elliptocytosis	http://purl.obolibrary.org/obo/MP_0009547	mp	hematologic disorder in which an abnormally large number of erythrocytes are elliptical rather than the typical biconcave, disc shape	14	0.16000000000000003
METPO:1000678	oval shaped	OLS	hepatic oval cell	http://purl.obolibrary.org/obo/BTO_0006561	bto	Hepatic oval cells are a small subpopulation of cells found in the liver when hepatocyte proliferation is inhibited and followed by some type of hepatic injury. These cells are believed to be bipotential, i.e., able to differentiate into hepatocytes or bile ductular cells.	13	0.4285714285714286
METPO:1000678	oval shaped	OLS	oval kumquat plant	http://purl.obolibrary.org/obo/FOODON_03412774	foodon		11	0.48275862068965514
METPO:1000678	oval shaped	OLS	Oval Window, Ear	http://purl.obolibrary.org/obo/OMIT_0011052	omit		10	0.4444444444444444
METPO:1000678	oval shaped	OLS	oval paracentral nucleus	https://purl.brain-bican.org/ontology/dmbao/DMBA_16417	dmba		17	0.4
METPO:1000678	oval shaped	OLS	abnormal oval window	http://purl.obolibrary.org/obo/XPO_0100235	xpo	Abnormality of oval window.	14	0.3870967741935484
METPO:1000678	oval shaped	OLS	absent oval window	http://purl.obolibrary.org/obo/XPO_0126118	xpo	Absence of oval window.	13	0.4137931034482759
METPO:1000678	oval shaped	OLS	absent oval window	http://purl.obolibrary.org/obo/UPHENO_0008731	upheno	Absence of oval window.	13	0.4137931034482759
METPO:1000678	oval shaped	OLS	Oval Window, Ear	http://id.nlm.nih.gov/mesh/D010046	mesh	Fenestra or oval opening on the lateral wall of the vestibular labyrinth adjacent to the MIDDLE EAR. It is located above the cochlear round window and normally covered by the base of the STAPES.	10	0.4444444444444444
METPO:1000678	oval shaped	OLS	elliptic	http://purl.obolibrary.org/obo/PATO_0000947	pato	A spheroid quality inhering in a bearer by virtue of the bearer's being oval with two axes of symmetry, as produced by a conical section.	10	0.21052631578947367
METPO:1000678	oval shaped	OLS	Oval fat body	http://snomed.info/id/726574005	snomed		7	0.5833333333333333
METPO:1000678	oval shaped	OLS	hepatic oval stem cell	http://purl.obolibrary.org/obo/CL_0002196	cl	A transient hepatic stem cell observed after liver injury with a high nuclear to cytoplasm ratio that can differentiate into mature hepatocytes and bile duct cells. Arises from more than one tissue.	15	0.4242424242424242
METPO:1000678	oval shaped	OLS	Repair of oval window	http://snomed.info/id/699325000	snomed		16	0.375
METPO:1000678	oval shaped	OLS	Rat Oval Cell Hyperplasia	http://purl.obolibrary.org/obo/NCIT_C60488	ncit		17	0.4444444444444444
METPO:1000678	oval shaped	OLS	Neoplastic Epithelial Oval Cell	http://purl.obolibrary.org/obo/NCIT_C60990	ncit		25	0.2857142857142857
METPO:1000678	oval shaped	OLS	Malignant Epithelial Oval Cell	http://purl.obolibrary.org/obo/NCIT_C60991	ncit		25	0.29268292682926833
METPO:1000678	oval shaped	OLS	Mouse Oval Cell Hyperplasia	http://purl.obolibrary.org/obo/NCIT_C38744	ncit		19	0.42105263157894735
METPO:1000678	oval shaped	OLS	Malignant Oval Endothelial Cell	http://purl.obolibrary.org/obo/NCIT_C53413	ncit		23	0.38095238095238093
METPO:1000678	oval shaped	OLS	oval window morphology trait	http://purl.obolibrary.org/obo/OBA_VT0004479	oba	The morphology of a oval window.	22	0.3589743589743589
METPO:1000678	oval shaped	OLS	Hepatic oval stem cell	http://purl.obolibrary.org/obo/FMA_86576	fma		15	0.4242424242424242
METPO:1000678	oval shaped	OLS	Fossa of oval window	http://purl.obolibrary.org/obo/FMA_76921	fma		15	0.3870967741935484
METPO:1000678	oval shaped	OLS	oval window morphology trait	http://purl.obolibrary.org/obo/VT_0004479	vt	Any measurable or observable characteristic related to the shape, structure, color or pattern of the oval opening on the medial wall of the tympanic cavity leading into the vestibule, close to the foot of the stapes.	22	0.3589743589743589
METPO:1000678	oval shaped	OLS	abnormal oval window morphology	http://purl.obolibrary.org/obo/XPO_0101867	xpo	Any unspecified morphological anomaly of the oval window, such as, for example, abnormal shape or colour.	25	0.2857142857142857
