metpo_id,metpo_label,match_iri,match_ontology,match_distance,metpo_sibling_count,external_sibling_count,coherent_sibling_count,coherence_score
METPO:1000059,phenotype,https://w3id.org/biolink/vocab/PhenotypicQuality,biolink,0.1755050867795944,0,0,0,
METPO:1000060,metabolism,http://purl.obolibrary.org/obo/GO_0008152,eco,0.4187507033348083,28,60,0,0.0
METPO:1000127,GC content,http://purl.obolibrary.org/obo/pato#cell_quality,phipo,0.8963717818260193,3,0,0,0.0
METPO:1000186,material entity,http://purl.obolibrary.org/obo/BFO_0000040,upheno,1.2446552091205376e-06,0,1,0,
METPO:1000188,quality,http://purl.obolibrary.org/obo/BFO_0000019,eco,0.0,0,1,0,
METPO:1000232,pH delta,http://purl.obolibrary.org/obo/UPHENO_0049881,upheno,0.8298410177230835,28,12,0,0.0
METPO:1000303,temperature delta,http://purl.obolibrary.org/obo/OMP_0005002,omp,0.8936039805412292,28,5,1,0.03571428571428571
METPO:1000304,temperature optimum,http://purl.obolibrary.org/obo/OMP_0005002,omp,0.8203733563423157,28,5,1,0.03571428571428571
METPO:1000306,temperature range,http://purl.obolibrary.org/obo/OMP_0005002,omp,0.6699280738830566,28,5,1,0.03571428571428571
METPO:1000331,pH optimum,http://purl.obolibrary.org/obo/OMP_0005008,omp,0.7875738143920898,2,5,0,0.0
METPO:1000332,pH range,http://purl.obolibrary.org/obo/OMP_0005008,omp,0.6992011666297913,2,5,0,0.0
METPO:1000333,NaCl optimum,http://purl.obolibrary.org/obo/PHIPO_0000978,phipo,0.8215279579162598,3,218,0,0.0
METPO:1000334,NaCl range,http://purl.obolibrary.org/obo/PHIPO_0000978,phipo,0.8239844441413879,3,218,0,0.0
METPO:1000335,NaCl delta,http://purl.obolibrary.org/obo/UPHENO_0050426,upheno,0.8141588568687439,3,6,0,0.0
METPO:1000429,GC low,http://purl.obolibrary.org/obo/FYPO_0001383,upheno,0.9192813038825988,7,8,0,0.0
METPO:1000430,GC mid1,http://purl.obolibrary.org/obo/apo#CGD,upheno,0.8894962072372437,7,0,0,0.0
METPO:1000431,GC mid2,http://purl.obolibrary.org/obo/OBA_2054152,oba,0.8613414764404297,7,3185,2,0.2857142857142857
METPO:1000432,GC high,http://purl.obolibrary.org/obo/apo#CGD,upheno,0.8843177556991577,7,0,0,0.0
METPO:1000441,temperature optimum very low,http://purl.obolibrary.org/obo/UPHENO_0076900,upheno,1.4066948890686035,6,0,0,0.0
METPO:1000442,temperature optimum low,http://purl.obolibrary.org/obo/HP_0005968,upheno,0.8863698244094849,6,6,0,0.0
METPO:1000443,temperature optimum mid1,http://purl.obolibrary.org/obo/PATO_0000510,flopo,0.9814768433570862,6,0,0,0.0
METPO:1000444,temperature optimum mid2,http://purl.obolibrary.org/obo/PATO_0000510,flopo,0.9125117659568788,6,0,0,0.0
METPO:1000445,temperature optimum mid3,http://purl.obolibrary.org/obo/PATO_0000510,flopo,0.9732698798179626,6,0,0,0.0
METPO:1000446,temperature optimum mid4,http://purl.obolibrary.org/obo/PATO_0000510,flopo,0.9393707513809204,6,0,0,0.0
METPO:1000447,temperature optimum high,http://purl.obolibrary.org/obo/ENVO_00002025,envo,0.8757150173187256,6,0,0,0.0
METPO:1000448,temperature range very low,http://purl.obolibrary.org/obo/HP_0005968,upheno,0.8811690211296082,6,6,0,0.0
METPO:1000449,temperature range low,http://purl.obolibrary.org/obo/HP_0005968,upheno,0.8937803506851196,6,6,0,0.0
METPO:1000450,temperature range mid1,http://purl.obolibrary.org/obo/HP_0005968,upheno,0.9787288308143616,6,6,0,0.0
METPO:1000451,temperature range mid2,http://purl.obolibrary.org/obo/HP_0005968,upheno,1.0087395906448364,6,6,0,0.0
METPO:1000452,temperature range mid3,http://purl.obolibrary.org/obo/HP_0005968,upheno,0.9939035177230836,6,6,0,0.0
METPO:1000453,temperature range mid4,http://purl.obolibrary.org/obo/MCO_0000694,mco,1.2252657413482666,6,36,0,0.0
METPO:1000454,temperature range high,http://purl.obolibrary.org/obo/ENVO_00002025,envo,0.8595983982086182,6,0,0,0.0
METPO:1000455,pH optimum low,http://purl.obolibrary.org/obo/UPHENO_0034460,upheno,1.1976804733276367,3,0,0,0.0
METPO:1000456,pH optimum mid1,http://purl.obolibrary.org/obo/OBA_0000121,oba,0.8472670316696167,3,0,0,0.0
METPO:1000457,pH optimum mid2,http://purl.obolibrary.org/obo/UPHENO_0034460,upheno,1.2141926288604736,3,0,0,0.0
METPO:1000458,pH optimum high,http://purl.obolibrary.org/obo/UPHENO_0068025,upheno,1.2620199918746948,3,0,0,0.0
METPO:1000459,pH range very low,http://purl.obolibrary.org/obo/UPHENO_0034520,upheno,1.2542086839675903,5,0,0,0.0
METPO:1000460,pH range low,http://purl.obolibrary.org/obo/UPHENO_0034520,upheno,1.2700657844543457,5,0,0,0.0
METPO:1000461,pH range mid1,http://purl.obolibrary.org/obo/OBA_0000121,oba,0.7960611581802368,5,0,0,0.0
METPO:1000462,pH range mid2,http://purl.obolibrary.org/obo/OBA_0000121,oba,0.814612090587616,5,0,0,0.0
METPO:1000463,pH range mid3,http://purl.obolibrary.org/obo/MCO_0000720,mco,0.6598073244094849,5,8,1,0.2
METPO:1000464,pH range high,http://purl.obolibrary.org/obo/UPHENO_0068085,upheno,1.3067626953125,5,0,0,0.0
METPO:1000465,NaCl optimum low,http://purl.obolibrary.org/obo/FYPO_0006717,upheno,0.8601482510566711,3,180,0,0.0
METPO:1000466,NaCl optimum mid1,http://purl.obolibrary.org/obo/MCO_0000243,mco,0.8367056846618652,3,1,2,0.6666666666666666
METPO:1000467,NaCl optimum mid2,http://purl.obolibrary.org/obo/MCO_0000770,mco,0.8235756158828735,3,12,3,1.0
METPO:1000468,NaCl optimum high,http://purl.obolibrary.org/obo/FYPO_0006717,upheno,0.8362791538238525,3,180,0,0.0
METPO:1000469,NaCl range low,http://purl.obolibrary.org/obo/MCO_0000242,mco,0.8956922292709351,3,1,2,0.6666666666666666
