# curie_map:
#   METPO: http://purl.obolibrary.org/obo/METPO_
#   skos: http://www.w3.org/2004/02/skos/core#
#   semapv: https://w3id.org/semapv/vocab/
# mapping_set_id: metpo-ontology-mappings-2025-10-31
# mapping_date: 2025-10-31
# mapping_tool: openai_text-embedding-3-small
# mapping_provider: https://github.com/berkeleybop/metpo
# license: https://creativecommons.org/publicdomain/zero/1.0/
# comment: Semantic mappings generated using OpenAI text-embedding-3-small with distance cutoff 0.8
#
subject_id	subject_label	predicate_id	object_id	object_label	mapping_justification	confidence	similarity_score	similarity_measure	mapping_tool	subject_source	object_source	comment
METPO:1000059	phenotype	skos:exactMatch	http://purl.obolibrary.org/obo/FYPO_0000001	phenotype	semapv:SemanticSimilarityThresholdMatching	1.000000	1.000000	cosine_similarity	openai_text-embedding-3-small	METPO	upheno	Embedding cosine distance: 0.0000, Rank: 1
METPO:1000059	phenotype	skos:closeMatch	<http://doi.org/10.1601/PHPhenotype>	PHPhenotype	semapv:SemanticSimilarityThresholdMatching	0.880827	0.761655	cosine_similarity	openai_text-embedding-3-small	METPO	n4l_merged	Embedding cosine distance: 0.2383, Rank: 2
METPO:1000059	phenotype	skos:relatedMatch	http://purl.obolibrary.org/obo/UPHENO_0001001	Phenotype	semapv:SemanticSimilarityThresholdMatching	0.871537	0.743074	cosine_similarity	openai_text-embedding-3-small	METPO	ohmi	Embedding cosine distance: 0.2569, Rank: 3
METPO:1000059	phenotype	skos:relatedMatch	http://purl.obolibrary.org/obo/MGPO_0001001	Phenotype	semapv:SemanticSimilarityThresholdMatching	0.871537	0.743074	cosine_similarity	openai_text-embedding-3-small	METPO	upheno	Embedding cosine distance: 0.2569, Rank: 4
METPO:1000059	phenotype	skos:relatedMatch	<http://doi.org/10.1601/Phenotype>	Phenotype	semapv:SemanticSimilarityThresholdMatching	0.871500	0.743000	cosine_similarity	openai_text-embedding-3-small	METPO	n4l_merged	Embedding cosine distance: 0.2570, Rank: 5
METPO:1000059	phenotype	skos:relatedMatch	https://w3id.org/biolink/vocab/phenotype_of	phenotype of	semapv:SemanticSimilarityThresholdMatching	0.851976	0.703952	cosine_similarity	openai_text-embedding-3-small	METPO	biolink	Embedding cosine distance: 0.2960, Rank: 6
METPO:1000059	phenotype	skos:broadMatch	http://purl.obolibrary.org/obo/PHIPO_0000505	phenotype; Any of the set of observable characteristics of an organism resulting from the interaction of its genotype with the environment.	semapv:SemanticSimilarityThresholdMatching	0.779806	0.559612	cosine_similarity	openai_text-embedding-3-small	METPO	upheno	Embedding cosine distance: 0.4404, Rank: 7
METPO:1000059	phenotype	skos:broadMatch	http://purl.obolibrary.org/obo/ExO_0000101	phenotype; The assemblage of traits or outward appearance of an individual. It is the product of interactions between genes and between genes and the environment.	semapv:SemanticSimilarityThresholdMatching	0.756059	0.512117	cosine_similarity	openai_text-embedding-3-small	METPO	exo	Embedding cosine distance: 0.4879, Rank: 8
METPO:1000059	phenotype	skos:broadMatch	https://w3id.org/biolink/vocab/has_phenotype	has phenotype	semapv:SemanticSimilarityThresholdMatching	0.749744	0.499488	cosine_similarity	openai_text-embedding-3-small	METPO	biolink	Embedding cosine distance: 0.5005, Rank: 9
METPO:1000059	phenotype	skos:broadMatch	http://purl.obolibrary.org/obo/OHMI_0000252	has phenotype	semapv:SemanticSimilarityThresholdMatching	0.749744	0.499488	cosine_similarity	openai_text-embedding-3-small	METPO	ohmi	Embedding cosine distance: 0.5005, Rank: 10
METPO:1000059	phenotype	skos:broadMatch	https://w3id.org/biolink/vocab/PhenotypicFeature	phenotypic feature	semapv:SemanticSimilarityThresholdMatching	0.730795	0.461590	cosine_similarity	openai_text-embedding-3-small	METPO	biolink	Embedding cosine distance: 0.5384, Rank: 11
METPO:1000059	phenotype	skos:broadMatch	http://purl.obolibrary.org/obo/PHIPO_0000505	phenotype; Any of the set of observable characteristics of an organism resulting from the interaction of its genotype with the environment.; Definition from FYPO. Unclear which namespace to enter under so currently 'floating'	semapv:SemanticSimilarityThresholdMatching	0.720856	0.441712	cosine_similarity	openai_text-embedding-3-small	METPO	phipo	Embedding cosine distance: 0.5583, Rank: 12
METPO:1000059	phenotype	skos:broadMatch	http://purl.obolibrary.org/obo/UPHENO_0001001	phenotype; A phenotypic effect related to http://www.w3.org/2002/07/owl#Thing.	semapv:SemanticSimilarityThresholdMatching	0.720069	0.440138	cosine_similarity	openai_text-embedding-3-small	METPO	upheno	Embedding cosine distance: 0.5599, Rank: 13
METPO:1000059	phenotype	skos:broadMatch	http://purl.obolibrary.org/obo/FBcv_0001347	phenotype; phenotypic class	semapv:SemanticSimilarityThresholdMatching	0.715778	0.431557	cosine_similarity	openai_text-embedding-3-small	METPO	upheno	Embedding cosine distance: 0.5684, Rank: 14
METPO:1000059	phenotype	skos:broadMatch	https://w3id.org/biolink/vocab/PhenotypicQuality	phenotypic quality	semapv:SemanticSimilarityThresholdMatching	0.709460	0.418919	cosine_similarity	openai_text-embedding-3-small	METPO	biolink	Embedding cosine distance: 0.5811, Rank: 15
METPO:1000059	phenotype	skos:broadMatch	https://w3id.org/biolink/vocab/phenotypic_state	phenotypic state	semapv:SemanticSimilarityThresholdMatching	0.707397	0.414794	cosine_similarity	openai_text-embedding-3-small	METPO	biolink	Embedding cosine distance: 0.5852, Rank: 16
METPO:1000059	phenotype	skos:broadMatch	http://purl.obolibrary.org/obo/APO_0000192	phenotype assays	semapv:SemanticSimilarityThresholdMatching	0.706039	0.412077	cosine_similarity	openai_text-embedding-3-small	METPO	apo	Embedding cosine distance: 0.5879, Rank: 17
METPO:1000059	phenotype	skos:broadMatch	http://purl.obolibrary.org/obo/RO_0016001	has phenotype or disease	semapv:SemanticSimilarityThresholdMatching	0.701341	0.402681	cosine_similarity	openai_text-embedding-3-small	METPO	oba	Embedding cosine distance: 0.5973, Rank: 18
METPO:1000059	phenotype	skos:broadMatch	<https://purl.dsmz.de/schema/Phenotype>	Phenotype; The observable characteristics or traits of an organism, which result from the interaction of its genotype with the environment. Phenotypes can include metabolic, morphological, and behavioral traits.	semapv:SemanticSimilarityThresholdMatching	0.696144	0.392287	cosine_similarity	openai_text-embedding-3-small	METPO	d3o	Embedding cosine distance: 0.6077, Rank: 19
METPO:1000059	phenotype	skos:broadMatch	http://purl.obolibrary.org/obo/PATO_0001894	phenotypic sex	semapv:SemanticSimilarityThresholdMatching	0.694459	0.388918	cosine_similarity	openai_text-embedding-3-small	METPO	micro	Embedding cosine distance: 0.6111, Rank: 20
METPO:1000060	metabolism	skos:closeMatch	<http://doi.org/10.1601/Metabolism>	Metabolism	semapv:SemanticSimilarityThresholdMatching	0.918804	0.837608	cosine_similarity	openai_text-embedding-3-small	METPO	n4l_merged	Embedding cosine distance: 0.1624, Rank: 1
METPO:1000060	metabolism	skos:broadMatch	http://purl.obolibrary.org/obo/GO_0008152	metabolic process; metabolism	semapv:SemanticSimilarityThresholdMatching	0.758020	0.516040	cosine_similarity	openai_text-embedding-3-small	METPO	upheno	Embedding cosine distance: 0.4840, Rank: 2
METPO:1000060	metabolism	skos:broadMatch	http://purl.obolibrary.org/obo/GO_0008152	metabolic process	semapv:SemanticSimilarityThresholdMatching	0.729104	0.458208	cosine_similarity	openai_text-embedding-3-small	METPO	envo	Embedding cosine distance: 0.5418, Rank: 3
